country,region,year,lifeExp,pop,gdpPercap
Kenya,East,1950,42,6.1,1038
Kenya,East,1951,42,6.2,1229
Kenya,East,1952,42,6.4,1063
Kenya,East,1953,43,6.6,1009
Kenya,East,1954,43,6.8,1095
Kenya,East,1955,44,7,1144
Kenya,East,1956,44,7.2,1173
Kenya,East,1957,45,7.4,1176
Kenya,East,1958,45,7.6,1156
Kenya,East,1959,46,7.9,1148
Kenya,East,1960,47,8.1,1157
Kenya,East,1961,47,8.4,1093
Kenya,East,1962,48,8.6,1117
Kenya,East,1963,49,8.9,1138
Kenya,East,1964,49,9.2,1208
Kenya,East,1965,50,9.5,1184
Kenya,East,1966,50,9.9,1294
Kenya,East,1967,51,10.2,1317
Kenya,East,1968,51,10.5,1366
Kenya,East,1969,52,10.9,1404
Kenya,East,1970,53,11.3,1458
Kenya,East,1971,53,11.7,1500
Kenya,East,1972,54,12.1,1524
Kenya,East,1973,54,12.6,1546
Kenya,East,1974,55,13.1,1564
Kenya,East,1975,55,13.6,1502
Kenya,East,1976,56,14.1,1503
Kenya,East,1977,56,14.6,1580
Kenya,East,1978,57,15.2,1656
Kenya,East,1979,57,15.8,1651
Kenya,East,1980,58,16.4,1675
Kenya,East,1981,58,17.1,1647
Kenya,East,1982,59,17.7,1680
Kenya,East,1983,59,18.4,1627
Kenya,East,1984,59,19.1,1594
Kenya,East,1985,59,19.9,1604
Kenya,East,1986,59,20.6,1658
Kenya,East,1987,59,21.4,1698
Kenya,East,1988,58,22.2,1741
Kenya,East,1989,58,22.9,1761
Kenya,East,1990,57,23.7,1780
Kenya,East,1991,57,24.5,1778
Kenya,East,1992,56,25.3,1725
Kenya,East,1993,55,26.1,1698
Kenya,East,1994,54,27,1730
Kenya,East,1995,53,27.8,1790
Kenya,East,1996,53,28.6,1851
Kenya,East,1997,52,29.4,1846
Kenya,East,1998,51,30.3,1890
Kenya,East,1999,51,31.1,1921
Kenya,East,2000,51,32,1915
Kenya,East,2001,51,32.8,1972
Kenya,East,2002,52,33.8,1962
